agent_id,name,email,phone,branch_id,team_id,products_allowed,status
Af4a0a5,Lindsey Roman,dudleynicholas@hotmail.com,959-310-3413x1647,B100,T43fe72,"['P105', 'P102']",active
A505270,Holly Wood,jacqueline19@jackson.biz,835-030-5641x395,B102,T560871,"['P106', 'P103']",active
A8ab9c9,Jonathan Wilkerson,josephwright@hotmail.com,+1-496-965-3287,B107,T1f4fa0,"['P104', 'P102', 'P107', 'P100']",active
A28a855,Anthony Rodriguez,ycarlson@carlson-mcdonald.com,+1-018-451-4627,B100,Tcd992c,"['P103', 'P101', 'P104']",active
Aecf2c7,Nathan Cortez,harrellkenneth@romero.com,+1-809-570-1543,B106,T9316d4,"['P105', 'P103', 'P106']",active
Aa9cc74,Shawn Arroyo,wcabrera@cannon.net,(489)638-3465,B104,T0c1ead,"['P100', 'P102', 'P101']",active
Aa54975,Joseph Martinez,morganbrianna@chapman.com,001-031-051-8347x382,B105,T4ef091,"['P102', 'P108']",active
A13c277,Sonya Johnston,maguirre@davis.com,(670)106-5133x38726,B109,T6b2b55,"['P100', 'P105']",active
Ad935af,Joel Baxter,jmorton@williams.com,326-773-6026,B108,Tdeaf0d,"['P105', 'P101', 'P109', 'P104', 'P100']",active
A992c40,James House,rodney87@gmail.com,430.980.5009,B106,T9316d4,"['P100', 'P105']",active
A9ace53,Thomas Schmidt,yorkcasey@leonard.biz,939-909-1699,B104,Tc17519,"['P101', 'P105']",active
A039264,Taylor Harris,josephanderson@hotmail.com,751-079-9118x3842,B103,T3954bc,"['P106', 'P101']",active
Ae09f19,Shirley Suarez,eric84@hotmail.com,+1-808-412-4118x2449,B100,Tcd992c,"['P107', 'P103', 'P104']",active
Ae136ae,Grant Watts,dking@gmail.com,+1-640-052-4278x6801,B106,T51c14f,"['P105', 'P102', 'P101']",active
A9f9ea4,Stephen Mckee,brandi26@williams.com,(331)586-9232x260,B109,T6b2b55,"['P105', 'P100']",active
A6deb32,Tim Patton,josephcobb@gmail.com,(073)375-4330x3654,B102,T560871,"['P102', 'P101', 'P108']",active
Ad90e4b,Tracy Ramirez,sheila14@gmail.com,001-401-965-5698,B109,T6b2b55,"['P106', 'P101', 'P100', 'P102', 'P107']",active
Af07b98,Steven Lee,zsmith@mcdaniel.com,(615)951-4846x564,B105,Tc64e08,"['P106', 'P107', 'P108']",active
Abaa830,Cheryl Ortega,christinaturner@hotmail.com,4436995777,B102,T560871,"['P106', 'P104', 'P105', 'P103', 'P107']",active
A5a86ef,Kayla Leon,campbellelizabeth@rogers.com,320.037.9176,B108,Taca0a3,"['P105', 'P104', 'P106', 'P109']",active
A4edf2f,Laura Higgins,jross@hotmail.com,001-016-328-7083x172,B100,Tcd992c,"['P104', 'P100']",active
Ad78b11,Mary Travis,usalazar@hotmail.com,(872)774-3487x34714,B100,T43fe72,"['P103', 'P100', 'P101']",active
Ae9d5ea,George Orozco,edwardreyes@mccarthy.biz,(587)603-6690x96705,B108,Taca0a3,"['P101', 'P106', 'P109', 'P105', 'P103']",active
A6e30e4,James Snow,tracynelson@yahoo.com,6562729806,B108,Tdeaf0d,"['P107', 'P101', 'P106', 'P102']",active
A2813d0,Mary Miller,michellewhite@yahoo.com,(537)556-4641x7080,B105,Tc64e08,"['P102', 'P107', 'P103', 'P101']",active
Aa86f65,Mrs. Marie Harrington DDS,jamessmith@allen.com,001-374-529-9124,B109,T6b2b55,"['P102', 'P101', 'P109']",active
A36a3b0,Alexander Collins,mdavid@gmail.com,001-314-919-0586,B101,Tfe9c98,"['P104', 'P103', 'P106']",active
A4a1537,Andrea Holland,gshort@yu-reid.info,001-262-849-8776x945,B109,Ta0b22b,"['P105', 'P103', 'P106', 'P108']",active
Adcd55f,Sandra Miller,karenhudson@hotmail.com,(507)527-3545x4948,B108,Taca0a3,"['P106', 'P101']",active
A2dd334,Travis Miller,ppeters@hotmail.com,770.143.6349x5788,B100,T43fe72,"['P104', 'P107']",active
A8089b0,Zachary Pierce,qnelson@gmail.com,351-823-3749,B106,T51c14f,"['P101', 'P105', 'P100', 'P104', 'P103']",active
A5217fe,Kelly Campbell,kennethward@smith-ferguson.com,0842710947,B101,Tfe9c98,"['P101', 'P103']",active
Ad1cf2d,Glen Sheppard,ewilson@yahoo.com,190.229.4131x8699,B105,T4ef091,"['P100', 'P108', 'P107', 'P101']",active
A5fcf24,Courtney Mills,levans@yahoo.com,990-913-3412x3281,B109,Ta0b22b,"['P107', 'P104', 'P100', 'P102']",active
A9449a5,Jason Norris,antonio44@hotmail.com,134.936.1832x421,B101,T53f16f,"['P109', 'P101', 'P108', 'P104']",active
A5a869d,Ricky Larson,smartinez@yahoo.com,001-648-877-1906x594,B108,Taca0a3,"['P109', 'P107']",active
A62ae21,Darryl Craig,barbara27@pearson.org,(717)565-5125x67468,B104,T0c1ead,"['P108', 'P102', 'P106', 'P105', 'P104']",active
Abd4eb1,Brandon King,ahancock@booth.net,(977)034-8247x710,B108,Tdeaf0d,"['P109', 'P108']",active
